host            port   proto  name          state  info
----            ----   -----  ----          -----  ----
192.168.56.102  21     tcp    ftp           open   vsftpd 2.3.4
192.168.56.102  22     tcp    ssh           open   OpenSSH 4.7p1 Debian 8ubuntu1 protocol 2.0
192.168.56.102  23     tcp    telnet        open   Linux telnetd
192.168.56.102  25     tcp    smtp          open   Postfix smtpd
192.168.56.102  53     tcp    domain        open   ISC BIND 9.4.2
192.168.56.102  80     tcp    http          open   Apache httpd 2.2.8 (Ubuntu) DAV/2
192.168.56.102  111    tcp    rpcbind       open   2 RPC #100000
192.168.56.102  139    tcp    netbios-ssn   open   Samba smbd 3.X - 4.X workgroup: WORKGROUP
192.168.56.102  445    tcp    netbios-ssn   open   Samba smbd 3.0.20-Debian workgroup: WORKGROUP
192.168.56.102  512    tcp    exec          open   netkit-rsh rexecd                                                                               
192.168.56.102  513    tcp    login         open   OpenBSD or Solaris rlogind                                                                      
192.168.56.102  514    tcp    shell         open   Netkit rshd                                                                                     
192.168.56.102  1099   tcp    java-rmi      open   GNU Classpath grmiregistry                                                                      
192.168.56.102  1524   tcp    bindshell     open   Bash shell **BACKDOOR**; root shell                                                             
192.168.56.102  2049   tcp    nfs           open   2-4 RPC #100003                                                                                 
192.168.56.102  3306   tcp    mysql         open   MySQL 5.0.51a-3ubuntu5                                                                          
192.168.56.102  5900   tcp    vnc           open   VNC protocol 3.3                                                                                
192.168.56.102  6000   tcp    x11           open   access denied                                                                                   
192.168.56.102  6667   tcp    irc           open   UnrealIRCd Admin email admin@Metasploitable.LAN                                                 
192.168.56.102  6697   tcp    irc           open   UnrealIRCd                                                                                      
192.168.56.102  8009   tcp    ajp13         open   Apache Jserv Protocol v1.3                                                                      
192.168.56.102  8180   tcp    http          open   Apache Tomcat/Coyote JSP engine 1.1                                                             
192.168.56.102  8787   tcp    drb           open   Ruby DRb RMI Ruby 1.8; path /usr/lib/ruby/1.8/drb                                               
192.168.56.102  33978  tcp    mountd        open   1-3 RPC #100005                                                                                 
192.168.56.102  49001  tcp    nlockmgr      open   1-4 RPC #100021                                                                                 
192.168.56.102  51352  tcp    status        open   1 RPC #100024
